"song","artist","rank","weeks_on_board"
"Complicated","Avril Lavigne",2626,31
"Complicated","Mac Miller",38,1
"Computer Game ""Theme From The Circus""","Yellow Magic Orchestra",261,9
"Con Calma","Daddy Yankee & Katy Perry Featuring Snow",1335,25
"Concealed Weapons","The J. Geils Band",177,7
"Conceited (There's Something About Remy)","Remy Ma",40,5
"Concrete And Clay","Eddie Rambeau",397,9
"Concrete And Clay","Unit Four plus Two",448,9
"Concrete Angel","Martina McBride",534,19
"Condition Red","The Goodees",382,11
"Coney Island","Taylor Swift Featuring The National",38,1
"Coney Island Baby","The Excellents",310,9
"Confession","Florida Georgia Line",602,20
"Confessions Of A Broken Heart (Daughter To Father)","Lindsay Lohan",189,7
"Confessions Of A Dangerous Mind","Logic",23,1
"Confessions Part II","Usher",2155,25
"Confident","Demi Lovato",1198,20
"Confident","Justin Bieber Featuring Chance The Rapper",109,3
"Confusion","Electric Light Orchestra",380,8
"Conga","Miami Sound Machine",1590,27
"Congratulations","Cliff Richard",4,3
"Congratulations","Post Malone Featuring Quavo",3539,50
"Congratulations","Rick Nelson",170,5
"Congratulations","Vesta",273,8
"Connected","Stereo MC's",1171,20
"Connection","Elastica",580,20
"Conqueror","Empire Cast Featuring Estelle & Jussie Smollett",74,2
"Conquistador","Procol Harum",834,13
"Conscience","James Darren",697,10
"Conscience","Kodak Black Featuring Future",8,1
"Consequences","Camila Cabello",328,12
"Consider Me Gone","Reba",734,19
"Constant Craving","Glee Cast",12,1
"Constant Craving","k.d. lang",681,19
"Constant Rain (Chove Chuva)","Sergio Mendes & Brasil '66",127,6
"Constantly","Immature",1310,20
"Contact","Edwin Starr",180,7
"Contagious","The Isley Brothers Featuring Ronald Isley",1083,19
"Contra","Logic",41,1
"Control","Janet Jackson",1339,18
"Control","Puddle Of Mudd",351,20
"Control Myself","LL Cool J Featuring Jennifer Lopez",445,11
"Control Of Me","Les Emmerson",311,9
"Controlla","Drake",1923,26
"Controversy","Prince",223,11
"Convention '72","The Delegates",568,8
"Conversations","Juice WRLD",242,6
"Conversations In The Dark","John Legend",15,1
"Conviction Of The Heart","Kenny Loggins",271,13
"Convoy","C.W. McCall",1130,16
"Coo-Coo Chee","Ric-A-Che Featuring Darija",4,1
"Coo Coo","Big Brother And The Holding Company",51,3
"CooCoo-U","The Kingston Trio",3,1
"Cook With Honey","Judy Collins",543,11
"Cookie Jar","Gym Class Heroes Featuring The-Dream",92,5
"Cookin'","Al Casey Combo",15,2
"Cool","Gwen Stefani",1269,20
"Cool","Jonas Brothers",624,17
"Cool (Part 1)","The Time",59,7
"Cool Again","Kane Brown",807,20
"Cool Aid","Paul Humphrey & His Cool Aid Chemists",759,16
"Cool As Ice (Everybody Get Loose)","Vanilla Ice",50,4
"Cool Change","Little River Band",1243,18
"Cool For The Summer","Demi Lovato",1416,20
"Cool Girl","Tove Lo",35,5
"Cool It Now","New Edition",1560,25
"Cool Jerk","The Capitols",1019,14
"Cool Kids","Echosmith",1549,23
"Cool Love","Pablo Cruise",1071,17
"Cool Magic","The Steve Miller Band",216,8
"Cool Night","Paul Davis",1231,19
"Cool Places","Sparks & Jane Wiedlin",447,12
"Cool Water","Jack Scott",31,3
"Cooler Than A Bitch","Gunna Featuring Roddy Ricch",92,3
"Cooler Than Me","Mike Posner",2279,29
"Cop Car","Keith Urban",816,18
"Cop Shot The Kid","Nas Featuring Kanye West",5,1
"Cop That Sh#!","Timbaland & Magoo Featuring Missy Elliott",12,2
"Copacabana (at The Copa)","Barry Manilow",1048,16
"Copy Cat","Gary U.S. Bonds",21,3
"Coquette","Fats Domino",9,1
"Corazon","Maluma X Nego do Borel",67,9
"Corazón","Carole King",495,10
"Corinna, Corinna","Ray Peterson",990,15
"Cornelia Street","Taylor Swift",44,1
"Corner Of The Sky","Jackson 5",764,12
"Corona And Lime","Shwayze",332,8
"Corso","Tyler, The Creator",46,1
"Cosmic Sea","The Mystic Moods",72,6
"Cost Of Livin'","Ronnie Dunn",59,8
"Costa Rica","Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",26,1
"Costafine Town","Splinter",105,8
"Cottage Cheese","CROW",433,14
"Cotton Candy","Al Hirt",769,12
"Cotton Candy","The Sylvers",199,7
"Cotton Eye Joe","Rednex",1091,20
"Cotton Fields","The Highwaymen",1166,18
"Cotton Jenny","Anne Murray",119,5
"Cottonfields","Ace Cannon",154,7
"Cough Syrup","Glee Cast",36,1
"Cough Syrup","Young The Giant",12,3
"Could've Been","H.E.R. Featuring Bryson Tiller",25,1
"Could've Been","Tiffany",1425,20
"Could've Been Me","Billy Ray Cyrus",152,9
"Could Heaven Ever Be Like This (Part 1)","Idris Muhammad",46,2
"Could I Be Dreaming","The Pointer Sisters",371,11
"Could I Forget You","Tyrone Davis",230,7
"Could I Have This Dance","Anne Murray",636,14
"Could I Have This Kiss Forever","Whitney Houston & Enrique Iglesias",546,19
"Could It Be","Charlie Worsham",11,2
"Could It Be","Jaheim",863,20
"Could It Be Forever","David Cassidy",486,9
"Could It Be I'm Falling In Love","The Spinners",1165,15
"Could It Be Love","Jennifer Warnes",365,10
"Could It Be Magic","Barry Manilow",1256,18
"Could It Be Magic","Donna Summer",178,5
"Could This Be Love","Seduction",1060,18
"Could You Ever Love Me Again","Gary & Dave",19,4
"Couldn't Get It Right","Climax Blues Band",1423,22
"Couldn't I Just Tell You","Todd Rundgren",13,2
"Couldn't Last A Moment","Collin Raye",784,20
"Count Down","Dave ""Baby"" Cortez",28,3
"Count Every Star","Donnie and The Dreamers",425,10
"Count Every Star","Linda Scott",379,10
"Count Every Star","The Rivieras",98,4
"Count Me In","Gary Lewis And The Playboys",842,11
"Count Me Out","New Edition",509,15
"Count On Me","Gerard McMahon",31,3
"Count On Me","Jefferson Starship",1016,14
"Count On Me (From ""Waiting To Exhale"")","Whitney Houston & CeCe Winans",1492,20
"Count Your Blessings","Ashford & Simpson",44,4
"Countdown","Beyonce",279,15
"Counting Blue Cars","Dishwalla",3074,48
"Counting Stars","OneRepublic",5079,68
"Counting The Days","Joey Kid",183,12
"Country Again","Thomas Rhett",629,20
"Country Boy","Aaron Lewis Featuring George Jones & Charlie Daniels",15,2
"Country Boy","Alan Jackson",568,19
"Country Boy","Fats Domino",533,10
"Country Boy (You Got Your Feet In L.A.)","Glen Campbell",968,14
"Country Comes To Town","Toby Keith",471,15
"Country Girl - City Man","Billy Vera & Judy Clay",317,6
"Country Girl (Shake It For Me)","Luke Bryan",1326,20
"Country Man","Luke Bryan",110,9
"Country Must Be Country Wide","Brantley Gilbert",662,21
"Country Nation","Brad Paisley",14,2
"Country Preacher","Cannonball Adderley",32,3
"Country Road","James Taylor",398,8
"Country Side Of Life","Wet Willie",103,4
"Country Song","Seether",339,18
"Country Strong","Gwyneth Paltrow",34,2
"Country Sunshine","Dottie West",405,11
"Country Wine","The Raiders",251,6
"Country Woman","The Magic Lantern",28,4
"Couple Days Off","Huey Lewis & The News",849,13
"Court Of Love","The Unifics",481,9
"Courtesy Of The Red, White And Blue (The Angry American)","Toby Keith",1007,20
"Cousin Of Mine","Sam Cooke",543,12
"Cover Girl","New Kids On The Block",1045,18
"Cover Me","Bruce Springsteen",1198,18
"Cover Me","Percy Sledge",342,8
"Cover Me Up","Morgan Wallen",209,10
"Cover Of Love","Michael Damian",564,12
"Cover You In Kisses","John Michael Montgomery",52,9
"Coward Of The County","Kenny Rogers",1417,19
"Cowboy","Kid Rock",71,5
"Cowboy Boots","Dave Dudley",6,1
"Cowboy Casanova","Carrie Underwood",1358,20
"Cowboy Jimmy Joe (Die Sterne Der Prarie)","Lolita",13,3
"Cowboy Like Me","Taylor Swift",30,1
"Cowboy Song","Thin Lizzy",134,8
"Cowboy Take Me Away","Dixie Chicks",1055,20
"Cowboys And Angels","Dustin Lynch",768,22
"Cowboys Are Frequently Secretly (Fond Of Each Other)","Willie Nelson",49,1
"Cowboys Like Us","George Strait",725,19
"Cowboys To Girls","The Intruders",1091,14
"Cowgirls Don't Cry","Brooks & Dunn Featuring Reba McEntire",853,20
"Cozy Little Christmas","Katy Perry",81,2
"Crack A Bottle","Eminem, Dr. Dre & 50 Cent",1024,17
"Crackerbox Palace","George Harrison",701,11
"Crackin Up","Bo Diddley",88,5
"Cracklin' Rosie","Neil Diamond",1260,15
"Cradle Of Love","Johnny Preston",1127,15
"Cradle Of Love (From ""Ford Fairlane"")","Billy Idol",1675,24
"Cranes In The Sky","Solange",29,2
"Crank It Up (Funk Town) Pt. 1","Peter Brown",59,6
"Crank That (Soulja Boy)","Soulja Boy Tell'em",2821,32
"Crash","Gwen Stefani",230,8
"Crash (Have Some Fun)","TKA Featuring Michelle Visage",108,7
"Crash And Burn","Savage Garden",1089,20
"Crash And Burn","Thomas Rhett",914,20
"Crash Here Tonight","Toby Keith",5,1
"Crash My Party","Luke Bryan",1383,21
"Craving You","Thomas Rhett Featuring Maren Morris",805,20
"Crawl","Chris Brown",275,9
"Crawling","Linkin Park",258,20
"Crawling Back","Roy Orbison",285,7
"Crawling Back To You","Daughtry",149,10
"Crawling In The Dark","Hoobastank",352,19
"Crazay","Jesse Johnson (Featuring Sly Stone)",555,16
"Crazier","Taylor Swift",357,8
"Craziest","Naughty By Nature",322,10
"Crazy","Aerosmith",1489,23
"Crazy","Daisy Dee",237,11
"Crazy","Gnarls Barkley",2374,29
"Crazy","Icehouse",1163,21
"Crazy","Javier",30,8
"Crazy","K-Ci & JoJo",1882,25
"Crazy","Kenny Rogers",102,8
"Crazy","Patsy Cline",735,11
"Crazy","Seal",1240,19
"Crazy","The Boys",748,15
"Crazy","The Manhattans",114,6
"Crazy (Keep On Falling)","The John Hall Band",401,11
"Crazy About Her","Rod Stewart",1085,17
"Crazy About The La La La","Smokey Robinson & The Miracles",264,7
"Crazy Arms","Bob Beckham",567,13
"Crazy Beautiful Life","Ke$ha",8,1
"Crazy Bitch","Buckcherry",551,20
"Crazy Car","The Naked Brothers Band",18,1
"Crazy Cool","Paula Abdul",264,9
"Crazy Country Hop","Johnny Otis",31,4
"Crazy Crazy Nights","KISS",139,7
"Crazy Downtown","Allan Sherman",374,8
"Crazy Eyes For You","Bobby Hamilton",139,3
"Crazy Feelin'","Jefferson Starship",176,6
"Crazy For This Girl","Evan And Jaron",1726,23
"Crazy For You","Madonna",1519,21
"Crazy Girl","Eli Young Band",1453,36
"Crazy Horses","The Osmonds",759,12
"Crazy In Love","Beyonce Featuring Jay Z",2368,27
"Crazy In The Night (Barking At Airplanes)","Kim Carnes",911,16
"Crazy Kids","Ke$ha Featuring will.i.am Or Juicy J",558,13
"Crazy Little Thing Called Love","Dwight Yoakam",260,10
"Crazy Little Thing Called Love","Queen",1735,22
"Crazy Love","CeCe Peniston",5,2
"Crazy Love","Helen Reddy",328,9
"Crazy Love","Poco",852,14
"Crazy Love","The Allman Brothers Band",441,9
"Crazy Love (From ""Jason's Lyric"")","Brian McKnight",828,20
"Crazy Mama","J.J. Cale",811,14
"Crazy On You","Heart",688,19
"Crazy Story 2.0","King Von Featuring Lil Durk",20,1
"Crazy Talk","Chilliwack",12,6
"Crazy Town","Jason Aldean",518,17
"Crazy World","Big Trouble",124,7
"Cream","Prince And The N.P.G.",1581,20
"Creature","Pop Smoke Featuring Swae Lee",44,1
"Creep","Radiohead",877,20
"Creep","TLC",2773,32
"Creepin'","Eric Church",557,20
"Creeque Alley","The Mamas & The Papas",663,9
"Crew","GoldLink Featuring Brent Faiyaz & Shy Glizzy",872,21
"Crew Love","Drake Featuring The Weeknd",252,20
"Cried Like A Baby","Bobby Sherman",647,9
"Criminal","Britney Spears",189,6
"Criminal","Fiona Apple",1413,20
"Criminal","Natti Natasha x Ozuna",11,3
"Crimson And Clover","Joan Jett & the Blackhearts",1018,15
"Crimson And Clover","SF Spanish Fly",39,6
"Crimson And Clover","Tommy James And The Shondells",1387,16
"Criticize","Alexander O'Neal",246,11
"Crocodile Rock","Elton John",1416,17
"Crocodile Teeth","Nicki Minaj & Skillibeng",1,1
"Crooked Smile","J. Cole Featuring TLC",1102,20
"Crooklyn (From ""Crooklyn"")","The Crooklyn Dodgers",279,12
"Cross Fire!","The Orlons",556,9
"Cross Me","Ed Sheeran Featuring Chance The Rapper & PnB Rock",555,10
"Cross My Broken Heart (From ""Beverly Hills Cop II"")","The Jets",1094,16
"Cross My Heart","Billy Stewart",84,9
"Cross My Heart","Bobby Vee",2,1
"Cross My Heart","Eighth Wonder",472,16
"Cross My Heart","Lee Ritenour",153,7
"Cross Roads","YoungBoy Never Broke Again",25,1
"Cross The Border","Philly's Most Wanted",13,5
"Crossfire","Johnny And The Hurricanes",742,14
"Crossfire Time","Dee Clark",28,5
"Crossover","EPMD",877,20
"Crossroads","Cream",458,8
"Crossroads","Tracy Chapman",35,4
"Crosstown Traffic","The Jimi Hendrix Experience",328,8
"Crowded","Jeannie Ortega Featuring Papoose",26,5
"Crown","JAY-Z",1,1
"Crown Of Creation","Jefferson Airplane",148,6
"Cruel Shoes","Steve Martin",28,4
"Cruel Summer","Ace Of Base",1373,20
"Cruel Summer","Bananarama",1116,18
"Cruel Summer","Taylor Swift",102,2
"Cruel To Be Kind","Nick Lowe",951,15
"Cruise","Florida Georgia Line Featuring Nelly",3989,54
"Cruisin'","D'Angelo",581,18
"Cruisin'","Smokey Robinson",1731,25
"Cruisin' For A Bruisin'","Ross Lynch, Grace Phipps And Jason Evigan",34,3
"Cruising For Bruising","Basia",607,12
"Crumblin' Down","John Cougar Mellencamp",1085,16
"Crumbs Off The Table","The Glass House",243,9
"Crush","Dave Matthews Band",238,16
"Crush","David Archuleta",1704,23
"Crush","Jennifer Paige",2161,25
"Crush A Lot","Lil Baby",19,1
"Crush On You","The Jets",1320,20
"Crush Tonight","Fat Joe Featuring Ginuwine",125,7
"crushcrushcrush","Paramore",392,17
"Crushed Up","Future",189,5
"Crushin' It","Brad Paisley",291,15
"Cry","Cassadee Pope",41,1
"Cry","Faith Hill",1267,26
"Cry","Godley & Creme",988,17
"Cry","Lynn Anderson",114,5
"Cry","Ray Charles",205,7
"Cry","Ronnie Dove",551,9
"Cry","The Knightsbridge Strings",249,7
"Cry","Waterfront",1069,17
"Cry Baby","Garnet Mimms & The Enchanters",995,14
"Cry Baby","Janis Joplin",302,6
"Cry Baby","Megan Thee Stallion Featuring DaBaby",1014,20
"Cry Baby Cry","The Angels",452,11
"Cry Baby/Piece Of My Heart","Melissa Etheridge & Joss Stone",124,2
"Cry Cry Cry","Bobby Bland",92,5
"Cry Cry Cry","Shirley And Company",18,2
"Cry For Help","Rick Astley",1298,20
"Cry For You","Jodeci",1439,20
"Cry For You","September",182,10
"Cry Just A Little","Paul Davis",67,4
"Cry Like A Baby","Kim Carnes",339,8
"Cry Like A Baby","The Box Tops",1216,15
"Cry Me A River","Janice Harper",29,3
"Cry Me A River","Joe Cocker",672,9
"Cry Me A River","Justin Timberlake",1664,20
"Cry Myself To Sleep","Del Shannon",2,1
"Cry No More","G Herbo Featuring Polo G & Lil Tjay",20,1
"Cry No More","II D Extreme",752,20
"Cry Pretty","Carrie Underwood",194,12
"Cry Softly","Nancy Ames",16,4
"Cry Softly Lonely One","Roy Orbison",251,6
"Cry To Me","Betty Harris",588,11
"Cry To Me","Freddie Scott",134,5
"Cry To Me","Loleatta Holloway",117,6
"Cry To Me","Solomon Burke",426,10
"Cry Wolf","a-ha",332,10
"Crybaby","Mariah Carey Featuring Snoop Dogg",273,7
"Cryin'","Aerosmith",1807,26
"Cryin'","Vixen",672,13
"Cryin' For Me (Wayman's Song)","Toby Keith",205,12
"Cryin' In The Streets (Part 1)","George Perkins & The Silver Stars",202,6
"Cryin' Like A Bitch!","Godsmack",41,3
"Crying","Don McLean",1396,18
"Crying","Jay & The Americans",372,6
"Crying","Roy Orbison",1283,16
"Crying In The Chapel","Adam Wade",30,3
"Crying In The Chapel","Elvis Presley With The Jordanaires",1108,14
"Crying In The Club","Camila Cabello",389,9
"Crying In The Rain","The Everly Brothers",954,13
"Crying On A Suitcase","Casey James",69,9
"Crying Out For Me","Mario",904,20
"Crying Time","Ray Charles",987,15
"Crystal Blue Persuasion","Tommy James And The Shondells",1230,15
"Crystal Chandelier","Vic Dana",305,7
"CRZY","Kehlani",54,5
"Cuando Calienta El Sol (When The Sun Is Hot)","Steve Allen and His Orchestra with The Copacabana Trio",48,5
"Cuando Me Enamoro","Enrique Iglesias Featuring Juan Luis Guerra",28,5
"Cuba","The Gibson Brothers",70,5
"Cuban Links","Rod Wave & Kevin Gates",17,3
"Cuddle My Wrist","Future",30,1
"Cuddly Toy (Feel For Me)","Roachford",650,14
"Cuddy Buddy","Mike Jones Featuring Trey Songz & Twista",45,3
"Cudi Montage","KIDS SEE GHOSTS",32,1
"Culo","Pitbull Featuring Lil Jon",848,20
"Cult Of Personality","Living Colour",929,15
"Culture","Migos Featuring DJ Khaled",8,1
"Cum On Feel The Noize","Quiet Riot",1426,21
"Cum On Feel The Noize","Slade",4,2
"Cumbersome","Seven Mary Three",956,20
"Cupid","112",2033,28
"Cupid","Johnny Nash",650,14
"Cupid","Johnny Rivers",58,4
"Cupid","Sam Cooke",778,12
"Cupid","Tony Orlando & Dawn",577,9
"Cupid's Chokehold/Breakfast In America","Gym Class Heroes Featuring Patrick Stump",1872,24
"Cupid Shuffle","Cupid",204,13
"Cupid/I've Loved You For A Long Time","The Spinners",1416,19
"Cups (Pitch Perfect's When I'm Gone)","Anna Kendrick",2460,44
"Curious Mind (Um, Um, Um, Um, Um, Um)","Johnny Rivers",370,10
"Curly","Jimmy Clanton",11,3
"Curve","Gucci Mane Featuring The Weeknd",73,3
"Custom Machine","Bruce & Terry",30,3
"Customer","Raheem DeVaughn",147,9
"Cut Her Off","KCamp Featuring 2 Chainz",551,20
"Cut It","O.T. Genasis Featuring Young Dolph",959,20
"Cut The Cake","AWB",1069,15
"Cutie Pie","One Way",246,10
"Cuts Both Ways","Gloria Estefan",530,14
"Cuts Like A Knife","Bryan Adams",834,14
"Cuts You Up","Peter Murphy",268,9
"Cuz It's You, Girl","James Walsh Gypsy Band",137,7
"Cyanide","Metallica",51,1
"Cycles","Frank Sinatra",533,10
"Cyclone","Baby Bash Featuring T-Pain",2278,30
"D'yer Mak'er","Led Zeppelin",877,16
"D-I-V-O-R-C-E","Tammy Wynette",169,6
"D. W. Washburn","The Monkees",480,7
"D.O.A.","Bloodrock",617,13
"D.O.A. (Death Of Auto-Tune)","JAY-Z",247,7
"D4L","Future, Drake & Young Thug",106,2
"Da' Dip","Freak Nasty",2278,33
"Da' Dip","MC Luscious Featuring Kinsui",66,4
"Da'Butt (From The ""School Daze"" Soundtrack)","E.U.",557,12
"Da Doo Ron Ron","Shaun Cassidy",1297,22
"Da Doo Ron Ron (When He Walked Me Home)","Ian Matthews",14,3
"Da Doo Ron Ron (When He Walked Me Home)","The Crystals",987,13
"Da Ya Think I'm Sexy?","Rod Stewart",1671,21
"Daddy","Blueface & Rich The Kid",44,4
"Daddy","PSY Featuring CL",4,1
"Daddy's Home","Chuck Jackson & Maxine Brown",10,1
"Daddy's Home","Cliff Richard",737,13
"Daddy's Home","Jermaine Jackson",1213,18
"Daddy's Home","Shep And The Limelites",1060,14
"Daddy's Little Girl","Al Martino",382,9
"Daddy's Little Man","O.C. Smith",377,7
"Daddy Cool","Boney M.",148,5
"Daddy Could Swear, I Declare","Gladys Knight And The Pips",876,15
"Daddy Don't You Walk So Fast","Wayne Newton",1382,20
"Daddy Lessons","Beyonce",95,2
"Daddy Sang Bass","Johnny Cash",478,10
"Daddy What If","Bobby Bare",346,8
"Daddy Won't Sell The Farm","Montgomery Gentry",99,6
"Daechwita","Agust D",25,1
"Daisies","Katy Perry",211,7
"Daisy A Day","Jud Strunk",983,16
"Daisy Jane","America",781,13
"Daisy Mae","Hamilton, Joe Frank & Reynolds",420,11
"Daisy Petal Pickin'","Jimmy Gilmer And The Fireballs",695,11
"Dakiti","Bad Bunny & Jhay Cortez",2209,28
"Damage","H.E.R.",836,20
"Damaged","Danity Kane",1744,22
"Damaged","Kid Cudi",10,1
"Damaged","TLC",168,4
"Dame Tu Cosita","Pitbull x El Chombo x Karol G Featuring Cutty Ranks",325,9
"Dammit Isn't God's Last Name","Frankie Laine",43,3
"Damn I Wish I Was Your Lover","Sophie B. Hawkins",1610,21
"Damn It All","Gene Cotton",74,3
"Damn!","YoungBloodZ Featuring Lil Jon",2452,32
"Damned If I Do","The Alan Parsons Project",888,17
"Damned If I Do Ya (Damned If I Don't)","All Time Low",34,1
"Dance","Ratt",221,9
"Dance (A$$)","Big Sean Featuring Nicki Minaj",1732,24
"Dance (Disco Heat)","Sylvester",1018,18
"Dance Across The Floor","Jimmy ""Bo"" Horne",572,18
"Dance Again","Jennifer Lopez Featuring Pitbull",803,18
"Dance And Shake Your Tambourine","Universal Robot Band",31,6
"Dance Away","Roxy Music",317,9
"Dance By The Light Of The Moon","The Olympics",359,11
"Dance Everyone Dance","Betty Madigan",330,9
